Nivel_1;Nivel_2;Nivel_3;Nome_Completo;Descricao
Acesso e Identidade;Segurança da Informação;;Acesso e Identidade > Segurança da Informação;Subcategoria: Segurança da Informação
Acesso e Identidade;Segurança da Informação;Relatar Incidente de Segurança ou Vírus;Acesso e Identidade > Segurança da Informação > Relatar Incidente de Segurança ou Vírus;Vírus detectado ou comportamento estranho. Ex: 'Antivírus alertou', 'Arquivos criptografados'.
Acesso e Identidade;Segurança da Informação;Relatar Phishing ou Spam;Acesso e Identidade > Segurança da Informação > Relatar Phishing ou Spam;Email suspeito ou golpe. Ex: 'Email estranho pedindo senha', 'Spam massivo'.
Hardware e Dispositivos;;;Hardware e Dispositivos;Categoria Principal: Hardware e Dispositivos
Hardware e Dispositivos;Desktops;;Hardware e Dispositivos > Desktops;Subcategoria: Desktops
Hardware e Dispositivos;Desktops;Devolução de Equipamento;Hardware e Dispositivos > Desktops > Devolução de Equipamento;Devolução de máquinas para o estoque ou baixa patrimonial. Ex: 'Devolução de computador antigo'.
Hardware e Dispositivos;Desktops;Falha de Hardware (Não liga, Erro, Lentidão);Hardware e Dispositivos > Desktops > Falha de Hardware (Não liga, Erro, Lentidão);Problemas físicos ou de performance. Ex: 'Computador não liga', 'Tela azul', 'Barulho na ventoinha', 'Travamento constante'.
Hardware e Dispositivos;Desktops;Instalação ou Movimentação Física;Hardware e Dispositivos > Desktops > Instalação ou Movimentação Física;Mudança de mesa, sala ou instalação de cabos. Ex: 'Mudar computador de sala', 'Organizar cabos'.
Hardware e Dispositivos;Desktops;Solicitação de Novo Equipamento;Hardware e Dispositivos > Desktops > Solicitação de Novo Equipamento;Solicitar compra ou disponibilização de novos computadores. Ex: 'Troca de máquina antiga', 'Computador para novo estagiário'.
Hardware e Dispositivos;Dispositivos Móveis;;Hardware e Dispositivos > Dispositivos Móveis;Subcategoria: Dispositivos Móveis
Hardware e Dispositivos;Dispositivos Móveis;Conexão Wi-Fi e Rede;Hardware e Dispositivos > Dispositivos Móveis > Conexão Wi-Fi e Rede;Celular não conecta na rede. Ex: 'Celular sem internet', 'Não conecta no Wi-Fi'.
Hardware e Dispositivos;Dispositivos Móveis;Solicitação de Smartphone/Tablet Corporativo;Hardware e Dispositivos > Dispositivos Móveis > Solicitação de Smartphone/Tablet Corporativo;Pedido de aparelho institucional. Ex: 'Solicitar celular para fiscalização'.
Hardware e Dispositivos;Dispositivos Móveis;Suporte a Configuração e Apps (E-mail, Gov.br);Hardware e Dispositivos > Dispositivos Móveis > Suporte a Configuração e Apps (E-mail, Gov.br);Ajuda com apps no celular. Ex: 'Configurar email no iPhone', 'Acesso Gov.br no tablet'.
Hardware e Dispositivos;Impressoras e Scanners;;Hardware e Dispositivos > Impressoras e Scanners;Subcategoria: Impressoras e Scanners
Hardware e Dispositivos;Impressoras e Scanners;Falha Física (Atolamento, Peças, Manutenção);Hardware e Dispositivos > Impressoras e Scanners > Falha Física (Atolamento, Peças, Manutenção);Impressora quebrada ou com erro no visor. Ex: 'Papel atolado', 'Mancha na impressão', 'Erro de fusor'.
Hardware e Dispositivos;Impressoras e Scanners;Gestão NDD (Autenticação, PIN, Cadastro);Hardware e Dispositivos > Impressoras e Scanners > Gestão NDD (Autenticação, PIN, Cadastro);Problemas com sistema de cotas e liberação NDD. Ex: 'Crachá não passa', 'Erro de autenticação', 'Cadastrar PIN'.
Hardware e Dispositivos;Impressoras e Scanners;Instalação e Configuração (Driver/Mapeamento);Hardware e Dispositivos > Impressoras e Scanners > Instalação e Configuração (Driver/Mapeamento);Configurar impressora na máquina do usuário. Ex: 'Instalar impressora do corredor', 'Mapear impressora nova'.
Hardware e Dispositivos;Impressoras e Scanners;Movimentação de Equipamento;Hardware e Dispositivos > Impressoras e Scanners > Movimentação de Equipamento;Mudança de local da impressora. Ex: 'Mudar impressora de sala', 'Troca de andar'.
Hardware e Dispositivos;Impressoras e Scanners;Suprimentos (Toner, Cartucho);Hardware e Dispositivos > Impressoras e Scanners > Suprimentos (Toner, Cartucho);Troca de toner vazio, cartucho de tinta e coleta de resíduos de impressão. Ex: 'Toner preto vazio', 'Coletor cheio'.
Hardware e Dispositivos;Notebooks;;Hardware e Dispositivos > Notebooks;Subcategoria: Notebooks
Hardware e Dispositivos;Notebooks;Devolução de Equipamento;Hardware e Dispositivos > Notebooks > Devolução de Equipamento;Devolução de máquinas para o estoque ou baixa patrimonial. Ex: 'Devolução de computador antigo'.
Hardware e Dispositivos;Notebooks;Falha Física (Tela, Teclado Integrado, Bateria);Hardware e Dispositivos > Notebooks > Falha Física (Tela, Teclado Integrado, Bateria);Defeitos específicos de laptop. Ex: 'Bateria não carrega', 'Tecla falhando', 'Tela quebrada'.
Hardware e Dispositivos;Notebooks;Falha de Sistema ou Lentidão;Hardware e Dispositivos > Notebooks > Falha de Sistema ou Lentidão;Problemas de software ou lentidão no notebook. Ex: 'Notebook lento', 'Windows corrompido'.
Hardware e Dispositivos;Notebooks;Solicitação de Novo Equipamento;Hardware e Dispositivos > Notebooks > Solicitação de Novo Equipamento;Solicitar compra ou disponibilização de novos computadores. Ex: 'Troca de máquina antiga', 'Computador para novo estagiário'.
Hardware e Dispositivos;Periféricos e Acessórios;;Hardware e Dispositivos > Periféricos e Acessórios;Subcategoria: Periféricos e Acessórios
Hardware e Dispositivos;Periféricos e Acessórios;Falha em Periférico de PC (Mouse, Teclado, Monitor);Hardware e Dispositivos > Periféricos e Acessórios > Falha em Periférico de PC (Mouse, Teclado, Monitor);Periférico do computador parou de funcionar. Ex: 'Mouse não clica', 'Teclado falhando', 'Monitor piscando'.
Hardware e Dispositivos;Periféricos e Acessórios;Solicitação de Acessório de Mesa (Mouse, Teclado, Monitor, Dock);Hardware e Dispositivos > Periféricos e Acessórios > Solicitação de Acessório de Mesa (Mouse, Teclado, Monitor, Dock);Pedir acessório de input ou vídeo. Ex: 'Mouse quebrado', 'Monitor extra', 'Dock station'.
Hardware e Dispositivos;Periféricos e Acessórios;Headset, Webcam e Áudio para PC (Teams/Zoom);Hardware e Dispositivos > Periféricos e Acessórios > Headset, Webcam e Áudio para PC (Teams/Zoom);Dispositivos de áudio e vídeo para computador: Headset USB, Fone de ouvido, Microfone, Webcam. Para reuniões Teams/Zoom. Ex: 'Headset mudo', 'Preciso de fone USB'.
Hardware e Dispositivos;Telefonia Fixa de Mesa (Ramais e Aparelhos IP);;Hardware e Dispositivos > Telefonia Fixa de Mesa (Ramais e Aparelhos IP);Subcategoria: Telefonia Fixa de Mesa (Ramais e Aparelhos IP)
Hardware e Dispositivos;Telefonia Fixa de Mesa (Ramais e Aparelhos IP);Configuração de Ramal VOIP (Nome no Visor, Siga-me);Hardware e Dispositivos > Telefonia Fixa de Mesa (Ramais e Aparelhos IP) > Configuração de Ramal VOIP (Nome no Visor, Siga-me);Ajustes lógicos no Ramal ou PABX. Ex: 'Mudar nome no visor', 'Configurar siga-me', 'Resetar senha do correio de voz'.
Hardware e Dispositivos;Telefonia Fixa de Mesa (Ramais e Aparelhos IP);Aparelho de Mesa Mudo, Sem Sinal ou Chiado (Ramal VOIP);Hardware e Dispositivos > Telefonia Fixa de Mesa (Ramais e Aparelhos IP) > Aparelho de Mesa Mudo, Sem Sinal ou Chiado (Ramal VOIP);Problema físico no aparelho. Ex: 'Ramal chiando', 'Sem tom de discagem'.
Hardware e Dispositivos;Telefonia Fixa de Mesa (Ramais e Aparelhos IP);Instalação de Aparelho IP de Mesa ou Ponto de Rede;Hardware e Dispositivos > Telefonia Fixa de Mesa (Ramais e Aparelhos IP) > Instalação de Aparelho IP de Mesa ou Ponto de Rede;Solicitar aparelho físico para a mesa ou ponto de rede de voz. Ex: 'Preciso de um ramal na mesa'.
Hardware e Dispositivos;Videoconferência e Salas (Webex/TV);;Hardware e Dispositivos > Videoconferência e Salas (Webex/TV);Subcategoria: Videoconferência e Salas (Webex/TV)
Hardware e Dispositivos;Videoconferência e Salas (Webex/TV);Conexão e Configuração de Sala (Projetor/TV);Hardware e Dispositivos > Videoconferência e Salas (Webex/TV) > Conexão e Configuração de Sala (Projetor/TV);Ajuda com projetor ou TV em sala. Ex: 'Ligar projetor', 'Conectar HDMI na TV'.
Hardware e Dispositivos;Videoconferência e Salas (Webex/TV);Suporte a Equipamento Webex (Cisco);Hardware e Dispositivos > Videoconferência e Salas (Webex/TV) > Suporte a Equipamento Webex (Cisco);Problemas com equipamento Cisco Webex. Ex: 'Webex não liga', 'Tela do Cisco preta'.
Rede e Conectividade;;;Rede e Conectividade;Categoria Principal: Rede e Conectividade
Rede e Conectividade;Cabeamento e Ponto de Rede;;Rede e Conectividade > Cabeamento e Ponto de Rede;Subcategoria: Cabeamento e Ponto de Rede
Rede e Conectividade;Cabeamento e Ponto de Rede;Instalação ou Ativação de Ponto;Rede e Conectividade > Cabeamento e Ponto de Rede > Instalação ou Ativação de Ponto;Novo ponto de rede. Ex: 'Ativar ponto na parede', 'Puxar cabo novo'.
Rede e Conectividade;Cabeamento e Ponto de Rede;Reparo em Tomada ou Cabo;Rede e Conectividade > Cabeamento e Ponto de Rede > Reparo em Tomada ou Cabo;Cabo estragado. Ex: 'Tomada quebrada', 'Cabo com mau contato'.
Rede e Conectividade;Internet e Navegação;;Rede e Conectividade > Internet e Navegação;Subcategoria: Internet e Navegação
Rede e Conectividade;Internet e Navegação;Lentidão ou Falha de Acesso;Rede e Conectividade > Internet e Navegação > Lentidão ou Falha de Acesso;Internet lenta. Ex: 'Navegação lenta', 'Site demora para abrir'.
Rede e Conectividade;Internet e Navegação;Queda Total (Link Fora);Rede e Conectividade > Internet e Navegação > Queda Total (Link Fora);Sem internet nenhuma. Ex: 'Sem conexão em todo o setor'.
Rede e Conectividade;Wi-Fi Corporativo;;Rede e Conectividade > Wi-Fi Corporativo;Subcategoria: Wi-Fi Corporativo
Rede e Conectividade;Wi-Fi Corporativo;Configuração de Acesso (Visitante/Senha);Rede e Conectividade > Wi-Fi Corporativo > Configuração de Acesso (Visitante/Senha);Senha do Wi-Fi. Ex: 'Senha para visitante', 'Como conectar no Wi-Fi'.
Rede e Conectividade;Wi-Fi Corporativo;Falha de Conexão ou Sinal Fraco;Rede e Conectividade > Wi-Fi Corporativo > Falha de Conexão ou Sinal Fraco;Wi-Fi cai ou não pega. Ex: 'Sinal fraco na sala de reuniões'.
Sistemas Corporativos;;;Sistemas Corporativos;Categoria Principal: Sistemas Corporativos
Sistemas Corporativos;FPE (Recursos Humanos);;Sistemas Corporativos > FPE (Recursos Humanos);Subcategoria: FPE (Recursos Humanos)
Sistemas Corporativos;FPE (Recursos Humanos);Ajuste de Vínculo ou Cadastro;Sistemas Corporativos > FPE (Recursos Humanos) > Ajuste de Vínculo ou Cadastro;Dados errados no RH. Ex: 'Vínculo incorreto', 'Mudar lotação FPE'.
Sistemas Corporativos;FPE (Recursos Humanos);Erro de Acesso ou Senha;Sistemas Corporativos > FPE (Recursos Humanos) > Erro de Acesso ou Senha;FPE não loga. Ex: 'Senha inválida no FPE', 'Conta bloqueada FPE'.
Sistemas Corporativos;GPE (Gerenciamento de Projetos);;Sistemas Corporativos > GPE (Gerenciamento de Projetos);Subcategoria: GPE (Gerenciamento de Projetos)
Sistemas Corporativos;GPE (Gerenciamento de Projetos);Suporte Geral e Acesso;Sistemas Corporativos > GPE (Gerenciamento de Projetos) > Suporte Geral e Acesso;Problemas no GPE. Ex: 'Acesso ao GPE', 'Erro ao salvar projeto'.
Sistemas Corporativos;Outros Sistemas (IPE, RHE, Etc);;Sistemas Corporativos > Outros Sistemas (IPE, RHE, Etc);Subcategoria: Outros Sistemas (IPE, RHE, Etc)
Sistemas Corporativos;Outros Sistemas (IPE, RHE, Etc);Suporte Geral;Sistemas Corporativos > Outros Sistemas (IPE, RHE, Etc) > Suporte Geral;Sistemas diversos (IPE, RHE). Ex: 'Acesso ao RHE', 'Erro no IPE'.
Sistemas Corporativos;PROA (Processos Administrativos);;Sistemas Corporativos > PROA (Processos Administrativos);Subcategoria: PROA (Processos Administrativos)
Sistemas Corporativos;PROA (Processos Administrativos);Alteração de Perfil ou Permissões;Sistemas Corporativos > PROA (Processos Administrativos) > Alteração de Perfil ou Permissões;Mudar acesso no sistema. Ex: 'Perfil de chefe no PROA', 'Liberar acesso total'.
Sistemas Corporativos;PROA (Processos Administrativos);Dúvidas de Utilização ou Tramitação;Sistemas Corporativos > PROA (Processos Administrativos) > Dúvidas de Utilização ou Tramitação;Como usar o sistema. Ex: 'Como tramitar processo', 'Dúvida no PROA'.
Sistemas Corporativos;PROA (Processos Administrativos);Erro de Acesso ou Lentidão;Sistemas Corporativos > PROA (Processos Administrativos) > Erro de Acesso ou Lentidão;PROA fora do ar ou lento. Ex: 'PROA não carrega', 'Erro 500 no PROA'.
Sistemas Corporativos;SOE (Orçamento e Finanças);;Sistemas Corporativos > SOE (Orçamento e Finanças);Subcategoria: SOE (Orçamento e Finanças)
Sistemas Corporativos;SOE (Orçamento e Finanças);Erro de Acesso ou Perfil;Sistemas Corporativos > SOE (Orçamento e Finanças) > Erro de Acesso ou Perfil;SOE não entra. Ex: 'Sem acesso ao SOE', 'Perfil incorreto'.
Sistemas Corporativos;SOE (Orçamento e Finanças);Suporte a Empenhos e Pagamentos;Sistemas Corporativos > SOE (Orçamento e Finanças) > Suporte a Empenhos e Pagamentos;Erro funcional no SOE. Ex: 'Erro ao emitir empenho'.
Software e Produtividade;;;Software e Produtividade;Categoria Principal: Software e Produtividade
Software e Produtividade;Microsoft 365 - Colaboração (Teams, OneDrive);;Software e Produtividade > Microsoft 365 - Colaboração (Teams, OneDrive);Subcategoria: Microsoft 365 - Colaboração (Teams, OneDrive)
Software e Produtividade;Microsoft 365 - Colaboração (Teams, OneDrive);Sincronização e Arquivos (OneDrive/SharePoint);Software e Produtividade > Microsoft 365 - Colaboração (Teams, OneDrive) > Sincronização e Arquivos (OneDrive/SharePoint);Arquivo não salva na nuvem. Ex: 'Erro de sincronização OneDrive', 'Arquivo bloqueado no SharePoint'.
Software e Produtividade;Microsoft 365 - Colaboração (Teams, OneDrive);Suporte a Teams (Reuniões, Equipes);Software e Produtividade > Microsoft 365 - Colaboração (Teams, OneDrive) > Suporte a Teams (Reuniões, Equipes);Problemas no Teams. Ex: 'Câmera não abre no Teams', 'Criar equipe nova'.
Software e Produtividade;Microsoft 365 - Conta e Instalação;;Software e Produtividade > Microsoft 365 - Conta e Instalação;Subcategoria: Microsoft 365 - Conta e Instalação
Software e Produtividade;Microsoft 365 - Conta e Instalação;Ativação ou Erro de Licença;Software e Produtividade > Microsoft 365 - Conta e Instalação > Ativação ou Erro de Licença;Office pede ativação. Ex: 'Produto não licenciado', 'Erro de ativação'.
Software e Produtividade;Microsoft 365 - Conta e Instalação;Instalação do Pacote Office (Word, Excel);Software e Produtividade > Microsoft 365 - Conta e Instalação > Instalação do Pacote Office (Word, Excel);Instalar Office 365. Ex: 'Instalar Word e Excel'.
Software e Produtividade;Microsoft 365 - Conta e Instalação;Reset de MFA (2FA/Autenticator);Software e Produtividade > Microsoft 365 - Conta e Instalação > Reset de MFA (2FA/Autenticator);Perdeu o celular ou token não funciona. Ex: 'Resetar Authenticator', 'Troquei de celular MFA'.
Software e Produtividade;Microsoft 365 - Outlook (E-mail);;Software e Produtividade > Microsoft 365 - Outlook (E-mail);Subcategoria: Microsoft 365 - Outlook (E-mail)
Software e Produtividade;Microsoft 365 - Outlook (E-mail);Acesso a Caixa Compartilhada;Software e Produtividade > Microsoft 365 - Outlook (E-mail) > Acesso a Caixa Compartilhada;Permissão em email de setor. Ex: 'Acesso ao email do Protocolo'.
Software e Produtividade;Microsoft 365 - Outlook (E-mail);Configuração de Assinatura, Arquivo e Contatos;Software e Produtividade > Microsoft 365 - Outlook (E-mail) > Configuração de Assinatura, Arquivo e Contatos;Ajustes visuais ou de contatos. Ex: 'Arrumar assinatura', 'Importar contatos'.
Software e Produtividade;Microsoft 365 - Outlook (E-mail);Erro de Envio/Recebimento ou Lentidão;Software e Produtividade > Microsoft 365 - Outlook (E-mail) > Erro de Envio/Recebimento ou Lentidão;Outlook travando ou email não chega. Ex: 'PST Cheio', 'Email preso na caixa de saída'.
Software e Produtividade;Navegadores e Certificados Digitais;;Software e Produtividade > Navegadores e Certificados Digitais;Subcategoria: Navegadores e Certificados Digitais
Software e Produtividade;Navegadores e Certificados Digitais;Erro de Acesso a Sites (Gov.br, Portais);Software e Produtividade > Navegadores e Certificados Digitais > Erro de Acesso a Sites (Gov.br, Portais);Site não abre. Ex: 'Erro no site do TJ', 'Não consigo acessar Gov.br'.
Software e Produtividade;Navegadores e Certificados Digitais;Instalação de Certificado (A1, A3, Token);Software e Produtividade > Navegadores e Certificados Digitais > Instalação de Certificado (A1, A3, Token);Instalar token OAB/Certisign. Ex: 'Instalar certificado A3', 'Token não reconhece'.
Software e Produtividade;Softwares de Terceiros;;Software e Produtividade > Softwares de Terceiros;Subcategoria: Softwares de Terceiros
Software e Produtividade;Softwares de Terceiros;Erro ou Travamento na Execução;Software e Produtividade > Softwares de Terceiros > Erro ou Travamento na Execução;Software fecha sozinho. Ex: 'AutoCAD fatou erro fatal', 'Adobe não abre PDF'.
Software e Produtividade;Softwares de Terceiros;Instalação (Adobe, AutoCAD, Outros);Software e Produtividade > Softwares de Terceiros > Instalação (Adobe, AutoCAD, Outros);Instalar software específico. Ex: 'Instalar Photoshop', 'Instalar AutoCAD'.
